Feature,SHAP Importance
Feature 1,0.11678780061762445
Feature 9,0.06629839919790359
Feature 3,0.039557587201802066
Feature 0,0.0394062383101963
Feature 8,0.026702484164368788
Feature 11,0.02009003709336797
Feature 2,0.019379535590996973
Feature 6,0.01454582312910033
Feature 13,0.013595592585154534
Feature 10,0.007841201095158724
Feature 4,0.0076216455927316205
Feature 12,0.006397219409858089
Feature 7,0.005313509038345082
Feature 5,0.0
